x1,x2,rank_Lambda,nullity_Lambda,active_dim,smith_applicable,lambda1_plus_lambda2
-3.0,-3.0,0,2,0,False,
-3.0,-2.9,0,2,0,False,
-3.0,-2.8,0,2,0,False,
-3.0,-2.7,0,2,0,False,
-3.0,-2.6,0,2,0,False,
-3.0,-2.5,0,2,0,False,
-3.0,-2.4,0,2,0,False,
-3.0,-2.3,0,2,0,False,
-3.0,-2.2,0,2,0,False,
-3.0,-2.1,0,2,0,False,
-3.0,-2.0,0,2,0,False,
-3.0,-1.9,0,2,0,False,
-3.0,-1.7999999999999998,0,2,0,False,
-3.0,-1.7,0,2,0,False,
-3.0,-1.5999999999999999,0,2,0,False,
-3.0,-1.5,0,2,0,False,
-3.0,-1.4,0,2,0,False,
-3.0,-1.2999999999999998,0,2,0,False,
-3.0,-1.2,0,2,0,False,
-3.0,-1.0999999999999999,0,2,0,False,
-3.0,-1.0,0,2,0,False,
-3.0,-0.8999999999999999,0,2,0,False,
-3.0,-0.7999999999999998,0,2,0,False,
-3.0,-0.6999999999999997,0,2,0,False,
-3.0,-0.5999999999999996,0,2,0,False,
-3.0,-0.5,0,2,0,False,
-3.0,-0.3999999999999999,0,2,0,False,
-3.0,-0.2999999999999998,0,2,0,False,
-3.0,-0.19999999999999973,0,2,0,False,
-3.0,-0.09999999999999964,0,2,0,False,
-3.0,0.0,0,2,0,False,
-3.0,0.10000000000000009,1,1,1,False,-0.13229442975132288
-3.0,0.20000000000000018,1,1,1,False,-0.13229442975826178
-3.0,0.30000000000000027,1,1,1,False,-0.13229442975826178
-3.0,0.40000000000000036,1,1,1,False,-0.132294429744384
-3.0,0.5,1,1,1,False,-0.13229442977213957
-3.0,0.6000000000000001,1,1,1,False,-0.13229442978601735
-3.0,0.7000000000000002,1,1,1,False,-0.132294429744384
-3.0,0.8000000000000003,1,1,1,False,-0.13229442977213957
-3.0,0.9000000000000004,1,1,1,False,-0.13229442977213957
-3.0,1.0,1,1,1,False,-0.132294429744384
-3.0,1.1000000000000005,1,1,1,False,-0.132294429744384
-3.0,1.2000000000000002,1,1,1,False,-0.132294429744384
-3.0,1.2999999999999998,1,1,1,False,-0.132294429744384
-3.0,1.4000000000000004,1,1,1,False,-0.13229442977213957
-3.0,1.5,1,1,1,False,-0.132294429744384
-3.0,1.6000000000000005,1,1,1,False,-0.13229442977213957
-3.0,1.7000000000000002,1,1,1,False,-0.132294429744384
-3.0,1.8000000000000007,1,1,1,False,-0.132294429744384
-3.0,1.9000000000000004,1,1,1,False,-0.132294429744384
-3.0,2.0,1,1,1,False,-0.132294429744384
-3.0,2.1000000000000005,1,1,1,False,-0.13229442982765072
-3.0,2.2,1,1,1,False,-0.132294429744384
-3.0,2.3000000000000007,1,1,1,False,-0.132294429744384
-3.0,2.4000000000000004,1,1,1,False,-0.13229442982765072
-3.0,2.5,1,1,1,False,-0.13229442982765072
-3.0,2.6000000000000005,1,1,1,False,-0.132294429744384
-3.0,2.7,1,1,1,False,-0.132294429744384
-3.0,2.8000000000000007,1,1,1,False,-0.13229442982765072
-3.0,2.9000000000000004,1,1,1,False,-0.13229442982765072
-3.0,3.0,1,1,1,False,-0.132294429744384
-2.9,-3.0,0,2,0,False,
-2.9,-2.9,0,2,0,False,
-2.9,-2.8,0,2,0,False,
-2.9,-2.7,0,2,0,False,
-2.9,-2.6,0,2,0,False,
-2.9,-2.5,0,2,0,False,
-2.9,-2.4,0,2,0,False,
-2.9,-2.3,0,2,0,False,
-2.9,-2.2,0,2,0,False,
-2.9,-2.1,0,2,0,False,
-2.9,-2.0,0,2,0,False,
-2.9,-1.9,0,2,0,False,
-2.9,-1.7999999999999998,0,2,0,False,
-2.9,-1.7,0,2,0,False,
-2.9,-1.5999999999999999,0,2,0,False,
-2.9,-1.5,0,2,0,False,
-2.9,-1.4,0,2,0,False,
-2.9,-1.2999999999999998,0,2,0,False,
-2.9,-1.2,0,2,0,False,
-2.9,-1.0999999999999999,0,2,0,False,
-2.9,-1.0,0,2,0,False,
-2.9,-0.8999999999999999,0,2,0,False,
-2.9,-0.7999999999999998,0,2,0,False,
-2.9,-0.6999999999999997,0,2,0,False,
-2.9,-0.5999999999999996,0,2,0,False,
-2.9,-0.5,0,2,0,False,
-2.9,-0.3999999999999999,0,2,0,False,
-2.9,-0.2999999999999998,0,2,0,False,
-2.9,-0.19999999999999973,0,2,0,False,
-2.9,-0.09999999999999964,0,2,0,False,
-2.9,0.0,0,2,0,False,
-2.9,0.10000000000000009,1,1,1,False,-0.13229442975132288
-2.9,0.20000000000000018,1,1,1,False,-0.13229442975826178
-2.9,0.30000000000000027,1,1,1,False,-0.13229442975826178
-2.9,0.40000000000000036,1,1,1,False,-0.132294429744384
-2.9,0.5,1,1,1,False,-0.13229442977213957
-2.9,0.6000000000000001,1,1,1,False,-0.13229442978601735
-2.9,0.7000000000000002,1,1,1,False,-0.132294429744384
-2.9,0.8000000000000003,1,1,1,False,-0.13229442977213957
-2.9,0.9000000000000004,1,1,1,False,-0.13229442977213957
-2.9,1.0,1,1,1,False,-0.132294429744384
-2.9,1.1000000000000005,1,1,1,False,-0.132294429744384
-2.9,1.2000000000000002,1,1,1,False,-0.132294429744384
-2.9,1.2999999999999998,1,1,1,False,-0.132294429744384
-2.9,1.4000000000000004,1,1,1,False,-0.13229442977213957
